Utterance,Intent,Source,Notes
payoff the credit card,PayCreditCard,Synthetic,
my credit card bill needs paid off,PayCreditCard,Synthetic,
i want to pay my credit card bill,PayCreditCard,Synthetic,
help me take care of that credit card bill,PayCreditCard,Synthetic,
trying to pay my balance,PayCreditCard,Synthetic,
make a credit card payment of 100 dollar,PayCreditCard,Synthetic,
"i need to make a payment, pull it from my checking please",PayCreditCard,Synthetic,
credit card payment due today,PayCreditCard,Synthetic,
make a payment of 100 to credit card but not from my main account,PayCreditCard,Synthetic,
i have a bill I want to pay,PayCreditCard,Synthetic,
pay my credit card for 100 dollars,PayCreditCard,Synthetic,
full payment made to my amex card,PayCreditCard,Synthetic,
help me pay off my credit card,PayCreditCard,Synthetic,
i want to pay my credit card bill with my savings account,PayCreditCard,Synthetic,
"my credit card bill is $100, can you help me pay that",PayCreditCard,Synthetic,
iʻm going to pay my credit card balance,PayCreditCard,Synthetic,
pay the $100 amex bill,PayCreditCard,Synthetic,
Pay my visa card bill,PayCreditCard,Synthetic,
pay 100 toward the balance i have on my credit card,PayCreditCard,Synthetic,
pay off the amex bill,PayCreditCard,Synthetic,
"amex card, pay that bill",PayCreditCard,Synthetic,
pay 100 to my Visa card,PayCreditCard,Synthetic,
pay toward the balance of my credit card,PayCreditCard,Synthetic,
pay that credit card bill that is due today,PayCreditCard,Synthetic,
transfer 500 from my checking to pay credit card,PayCreditCard,Synthetic,
make a paymen toward the credit card,PayCreditCard,Synthetic,
payment toward the credit card bill,PayCreditCard,Synthetic,
walk me through paying the credit card,PayCreditCard,Synthetic,
payoff my visa credit card in full,PayCreditCard,Synthetic,
can you send a payment to visa credit card from my account,PayCreditCard,Synthetic,
pay $100 on my amex card,PayCreditCard,Synthetic,
100 dollar payment to credit card,PayCreditCard,Synthetic,
pay this 100 dollar credit card bill i have,PayCreditCard,Synthetic,
pay 100 dollats to my credit card,PayCreditCard,Synthetic,
balance of my credit card needs paid off,PayCreditCard,Synthetic,
pay the full amount of the credit card bill,PayCreditCard,Synthetic,
send 100 over to pay my Chase card,PayCreditCard,Synthetic,
I need to use my College savings account to pay my Visa credit card in the amount of $500,PayCreditCard,Synthetic,
pay my credit card balance of 100 dollars,PayCreditCard,Synthetic,
i want to pay a bill but itʻs from he second account,PayCreditCard,Synthetic,
i canʻt see my credit card in the app but wanted to process a payment,PayCreditCard,Synthetic,
I want to make a payment of $400 from my checking to my Propel credit card,PayCreditCard,Synthetic,
can you help me with my credit card bill,PayCreditCard,Synthetic,
I want to pay a bill,PayCreditCard,Synthetic,
$100 dollars paid to my credit card,PayCreditCard,Synthetic,
pay the balance of my credit card,PayCreditCard,Synthetic,
I want to pay 100 toward the balance of my credit card,PayCreditCard,Synthetic,
pay my credit card $100,PayCreditCard,Synthetic,
payment of $100 to the credit card bill,PayCreditCard,Synthetic,
i want to pay off an amount on my credit card,PayCreditCard,Synthetic,
i need to make a payment on my master card,PayCreditCard,Synthetic,
make a payment to the 100 dollar amex bill,PayCreditCard,Synthetic,
i need to pay my credit card bill,PayCreditCard,Synthetic,
pay half of my credit cardʻs balance,PayCreditCard,Synthetic,
help make a payment on my chase credit card,PayCreditCard,Synthetic,
make a payment toward my credit card,PayCreditCard,Synthetic,
help pay the credit card for me,PayCreditCard,Synthetic,
"credit card bill is coming up, can you help me pay it",PayCreditCard,Synthetic,
make payment to the amex card for 100 dollars,PayCreditCard,Synthetic,
pay my bills,PayCreditCard,Synthetic,
payment to credit card for 100 dollars,PayCreditCard,Synthetic,
Pay my credit card,PayCreditCard,Synthetic,
make a full payment to my credit card bill,PayCreditCard,Synthetic,
credit card payment make it 100 dollars,PayCreditCard,Synthetic,
need to pay for my amex card real quick,PayCreditCard,Synthetic,
how do i send a payment from my baby account,PayCreditCard,Synthetic,
I would like to pay off my credit card,PayCreditCard,Synthetic,
pay 100 from my checking to my credit card,PayCreditCard,Synthetic,
put 100 dollars on my credit card bill,PayCreditCard,Synthetic,
i need to take care of my credit card bill,PayCreditCard,Synthetic,
i need to payoff my credit card,PayCreditCard,Synthetic,
credit card payment of 100 dollars,PayCreditCard,Synthetic,
pay the amex card in full,PayCreditCard,Synthetic,
make payment of $100 to my amex credit card,PayCreditCard,Synthetic,
my credit card needs paid,PayCreditCard,Synthetic,
take care of the credit card bill for me,PayCreditCard,Synthetic,
pay the rest of whatʻs on my credit card,PayCreditCard,Synthetic,
I need to pay 100 to credit card but take it from savings,PayCreditCard,Synthetic,
"i want to pay my amex, 1000 from checking",PayCreditCard,Synthetic,
pay off the balance on my credit card,PayCreditCard,Synthetic,
pay the amex card off,PayCreditCard,Synthetic,
Make a credit card payment,PayCreditCard,Synthetic,
send a payment to my credit card,PayCreditCard,Synthetic,
pay the full amount for my credit card,PayCreditCard,Synthetic,
pay the amex bill,PayCreditCard,Synthetic,
pay 100 of the Chase credit card bill,PayCreditCard,Synthetic,
i need to pay the amex bill,PayCreditCard,Synthetic,
my Chase credit card bill needs paid,PayCreditCard,Synthetic,
pay credit card,PayCreditCard,Synthetic,
pay my visa credit card,PayCreditCard,Synthetic,
payment to cover the full balance of my credit card bill,PayCreditCard,Synthetic,
how can I make a payment from my savings,PayCreditCard,Synthetic,
Pay $100 to my visa credit card bill,PayCreditCard,Synthetic,
how do i select my baby account to make a payment to amex,PayCreditCard,Synthetic,
how do I pay my credit card on here,PayCreditCard,Synthetic,
set up a payment for the credit card bill that is due,PayCreditCard,Synthetic,
i only want to pay 100 dollars toward my credit card,PayCreditCard,Synthetic,
I need to put 100 toward my Amex bill,PayCreditCard,Synthetic,
i need to make a payment toward by credit card,PayCreditCard,Synthetic,
I have to pay the balance on my credit card today,PayCreditCard,Synthetic,
how do I select an account to make a payment from,PayCreditCard,Synthetic,
pay 100 dollars on my credit card,PayCreditCard,Synthetic,
pay half of my MasterCard bill,PayCreditCard,Synthetic,
pay the rest of the credit card balance,PayCreditCard,Synthetic,
pay 100 dollars toward the balance of my visa card,PayCreditCard,Synthetic,
i need the credit card bill paid,PayCreditCard,Synthetic,
pay the credit card bill using my checking account please,PayCreditCard,Synthetic,
I'd like to make a payment on my Propel credit card,PayCreditCard,Synthetic,
need to pay my Propel credit card bill,PayCreditCard,Synthetic,
would like to make a Mastercard payment on here,PayCreditCard,Synthetic,
Can I pay my Mastercard monthly statement right from the app,PayCreditCard,Synthetic,
make payment to my Visa card,PayCreditCard,Synthetic,
want to pay off my Visa,PayCreditCard,Synthetic,
credit card payment due today need to pay it now,PayCreditCard,Synthetic,
would like to pay my american express card off,PayCreditCard,Synthetic,
how do I make a payment to my american express card,PayCreditCard,Synthetic,
pay $250 towards my Visa,PayCreditCard,Synthetic,
make credit card payment,PayCreditCard,Synthetic,
how do I make a Mastercard payment via the app,PayCreditCard,Synthetic,
send money from checking to pay my american express bill for this month,PayCreditCard,Synthetic,
hi can you please give instructions on how to pay my credit card via my phone,PayCreditCard,Synthetic,
need instructions or help to completely pay off my mastercard,PayCreditCard,Synthetic,
hi I'd like to just pay the minimum towards my credit card this month how do I do that,PayCreditCard,Synthetic,
pay the minimum on my credit card,PayCreditCard,Synthetic,
make a minimum payment that's due today for my credit card,PayCreditCard,Synthetic,
can I completely pay off my credit card right now here on the app on my phone,PayCreditCard,Synthetic,
pay the statement amount for my credit card,PayCreditCard,Synthetic,
My card is stolen. Help,LostCard,Github,
i lost my card. can you help me,LostCard,Github,
Iʻve lost my card and need a new one,LostCard,Synthetic,
I need to replace my card,LostCard,Synthetic,
Need to cancel my card and get a new one because I lost mine,LostCard,Synthetic,
"i canʻt locate my card since march 12, need a new one",LostCard,Synthetic,
since I lost my debit card can you help me get a replacement,LostCard,Synthetic,
What do I do if my card is stolen,LostCard,Github,
I think that my card is stolen. What are my next steps,LostCard,Github,
i need a new card,LostCard,Synthetic,
can I get a new credit card,LostCard,Synthetic,
Someone stole my card,LostCard,Github,
what happens if i have my card stolen,LostCard,Synthetic,
"I canʻt seem to find my card, it might be lost",LostCard,Github,
i canʻt find my debit card,LostCard,Synthetic,
I believe that my card has been stolen,LostCard,Github,
i lost my card n need a new one,LostCard,Github,
need to replace debit card,LostCard,Synthetic,
help me order a new debit card,LostCard,Synthetic,
Report stolen card,LostCard,Github,
Can you provide information for freezing my card immediately,LostCard,Github,
Replacement card for my lost debit,LostCard,Synthetic,
Someone took my card without my permission,LostCard,Github,
please help me. my card is missing,LostCard,Github,
can you help me retrieve my card,LostCard,Github,
kid destroyed my card and I need a new one asap,LostCard,Synthetic,
I misplaced my debit card today,LostCard,Synthetic,
help. I lost my card,LostCard,Github,
Help me. I lost my card. What should I do,LostCard,Github,
need a new credit card lost mine somewhere two days ago,LostCard,Synthetic,
i lost my wallet and need a new card sent to me,LostCard,Synthetic,
I think my card is stolen,LostCard,Github,
"I donʻt know where my card went to, can you help me get a new one",LostCard,Synthetic,
Help. I fear that my card was stolen,LostCard,Github,
"how do i get a new card, mine is lost",LostCard,Synthetic,
I lost my wallet and all of my cards were in it,LostCard,Github,
My card was lost on vacation. I donʻt know where it is. Can you help me take care of this immediately,LostCard,Github,
could you assist me in finding my lost card,LostCard,Github,
"lost my visa card at the airport yesterday at the airport, can I order a replacemen",LostCard,Synthetic,
someone took my card without permission,LostCard,Github,
What can I do if I lost my card,LostCard,Github,
what do i need to do to get a replacement card,LostCard,Synthetic,
oh my god. i lost my card. what should i do,LostCard,Github,
What do I do if my card has been lost or stolen,LostCard,Github,
"can i replace my card, i canʻt find it",LostCard,Synthetic,
I lost my card and need a replacement,LostCard,Synthetic,
I lost track of my card,LostCard,Github,
I lost my debit card,LostCard,Synthetic,
replacing a lost debit card,LostCard,Synthetic,
Is there any way for you to find my card,LostCard,Github,
what should I do if my card is stolen,LostCard,Github,
Misplaced my card and need to cancel it and order a new one,LostCard,Synthetic,
i want to block my card or deactivate it or something. Itʻs been stolenand I donʻt want it misused. I want this handled right away,LostCard,Github,
"help, lost my card",LostCard,Github,
My card was stolen,LostCard,Synthetic,
I canʻt find my credit card,LostCard,Synthetic,
"Need a new card, I lost mine",LostCard,Synthetic,
i need to replace my lost card,LostCard,Synthetic,
what do I do if myy card was stolen,LostCard,Github,
How can I report that my card was stolen. I made a apolice report first,LostCard,Github,
"Turn off my debit card, it was stolen",LostCard,Synthetic,
Myy card has been lost. Help,LostCard,Github,
How do I replace a stolen card,LostCard,Github,
"i am traveling soon and need a card replacement, lost my card this morning",LostCard,Synthetic,
Lost my card,LostCard,Synthetic,
Can you help me replace a lost card,LostCard,Synthetic,
can you mail me a new card,LostCard,Synthetic,
"I cannot find my card, what do I do",LostCard,Synthetic,
need a new card my old one was stolen last week,LostCard,Synthetic,
I lost my debit card and need a replacement,LostCard,Synthetic,
I canʻt find my card. Is it lost?,LostCard,Github,
if I lose my debit card can you help me get a replacement,LostCard,Synthetic,
my card has been lost / stolen,LostCard,Github,
lost card yesterday need replacement,LostCard,Synthetic,
I need a replacement for the credit card that was stolen,LostCard,Synthetic,
my card cannot be found,LostCard,Synthetic,
Could you please freeze my card immediately,LostCard,Github,
i need a replacement debit card for the one that was lost,LostCard,Synthetic,
"i need help, I lost my card",LostCard,Github,
I think my wallet fell ot on the tube today. i realized as soon as I got to my desk. How do I cut off the card,LostCard,Github,
"lost card, next steps",LostCard,Synthetic,
I seem to have lost my card,LostCard,Github,
My card has been stolen what do I do?,LostCard,Github,
Help me replace he card I lost please,LostCard,Synthetic,
need help replacing a lost card,LostCard,Synthetic,
I lost my credit card and need to replace it,LostCard,Synthetic,
my card is missing,LostCard,Github,
Someone stole my wallet with my card in it while I was on vacation. I really need my card blocked and a new one ordered,LostCard,Github,
can you help me get a new card for the one I lost,LostCard,Synthetic,
Iʻve lostt my card and need to order a new one,LostCard,Synthetic,
My card is missing. Please help.,LostCard,Github,
Somebody stole my credit card yesterday,LostCard,Synthetic,
i canʻt find my card. what should I do,LostCard,Github,
need a new credit card,LostCard,Synthetic,
My wallet was stolen along with my cards. How do I put a freeze on my cards and order a new one,LostCard,Github,
how do I report my card as lost or stolen,LostCard,Github,
What should I do if I think my card was stolen,LostCard,Github,
need help with a stolen card,LostCard,Github,
"can you send me a new card, I lost my old one",LostCard,Synthetic,
Iʻm panicking! I lost my card. Help,LostCard,Github,
If I lose my credit card can you help me replace it,LostCard,Synthetic,
"need to replace my savings account debit card, canʻt find it",LostCard,Synthetic,
Who can I speak with regarding a lost card,LostCard,Github,
how do i deactivate a stolen card,LostCard,Github,
what should i do. my card has been stolen,LostCard,Github,
help replacing a lost debit card,LostCard,Synthetic,
I have lost my card. What is the next step,LostCard,Github,
I lost my card,LostCard,Synthetic,
i think that my card was stolen,LostCard,Github,
My card is missing. Help,LostCard,Github,
"My card has been stolen. I reported it with the poice, but I need to report it with you as well",LostCard,Github,
"replacing a lost card, help",LostCard,Synthetic,
"i need to replace my credit card, I lost it",LostCard,Synthetic,
"canʻt find my card, can i get a replacement",LostCard,Synthetic,
"i lost my card, what do I do now?",LostCard,Github,
I need to replace my debit card,LostCard,Synthetic,
Can you send me a new card and block my old one. My wallet was stolen,LostCard,Github,
My bag got stolen with all of my cards. Can you please cancel my card and send a new one,LostCard,Github,
"is it possible to replace a card on the app, lost it last week",LostCard,Synthetic,
"i want another card, my old one is gone, canʻt find it",LostCard,Synthetic,
my card was stolen last night,LostCard,Github,
Card lost,LostCard,Synthetic,
I left my card at a restaurant and now itʻs missing,LostCard,Github,
what are the steps I need to do if I have a stolen card,LostCard,Github,
"I donʻt know where my card is, I think itʻs lost",LostCard,Synthetic,
My card has gone missing,LostCard,Github,
"my card was stolen today, i need a new one",LostCard,Synthetic,
Can you turn off my debit card since itʻs lost,LostCard,Synthetic,
Lost card,LostCard,Synthetic,
my debit card is lost and I need a new one,LostCard,Synthetic,
i think my card is lost. what do i do,LostCard,Github,
I think I lost my debit card last week. can I get a new one?,LostCard,Synthetic,
card is missing,LostCard,Synthetic,
stolen card,LostCard,Synthetic,
card went missing,LostCard,Synthetic,
"need help, can't find my credit card",LostCard,Synthetic,
misplaced my credit card,LostCard,Synthetic,
credit card is lost somewhere inside my house,LostCard,Synthetic,
son took my card and now he can't find it,LostCard,Synthetic,
can't locate my credit card,LostCard,Synthetic,
don't know location of my card,LostCard,Synthetic,
left my card at the bar,LostCard,Synthetic,
forgot my card at a restaurant,LostCard,Synthetic,
need to turn off my card,LostCard,Synthetic,
card got stolen need to order a replacement,LostCard,Synthetic,
need a replacement card since mine got stolen this afternoon,LostCard,Synthetic,
would like to cancel a stolen card and order a new one please,LostCard,Synthetic,
wallet was stolen and need to cancel cards and order new ones,LostCard,Synthetic,
want to cancel all my cards because my son lost them both,LostCard,Synthetic,
cancel cards and get replacements,LostCard,Synthetic,
visa card,CardChoice,Synthetic,
misplaced debit,CardChoice,Synthetic,
referencing my debit,CardChoice,Synthetic,
my credit card was the one,CardChoice,Synthetic,
my credit card  ,CardChoice,Synthetic,
it was my visa credit card,CardChoice,Synthetic,
mastercard cc,CardChoice,Synthetic,
my debit,CardChoice,Synthetic,
visa cc,CardChoice,Synthetic,
MC credit card,CardChoice,Synthetic,
lost the debit,CardChoice,Synthetic,
just my debit,CardChoice,Synthetic,
it was my credit card,CardChoice,Synthetic,
it was my visa  ,CardChoice,Synthetic,
iʻm talking about my debit card,CardChoice,Synthetic,
pick the debit,CardChoice,Synthetic,
itʻs the credit card,CardChoice,Synthetic,
my debit card,CardChoice,Synthetic,
it was my amex,CardChoice,Synthetic,
debit,CardChoice,Synthetic,
cc,CardChoice,Synthetic,
lost the credit card,CardChoice,Synthetic,
propel card,CardChoice,Synthetic,
talking about debit,CardChoice,Synthetic,
my checking card,CardChoice,Synthetic,
iʻm referring to my debit card,CardChoice,Synthetic,
Need to recover lost credit card,CardChoice,Synthetic,
my cc,CardChoice,Synthetic,
talking about the credit card,CardChoice,Synthetic,
my debit card please,CardChoice,Synthetic,
credit card,CardChoice,Synthetic,
I've seem to have misplaced my visa Cc,CardChoice,Synthetic,
it's the debit card,CardChoice,Synthetic,
checking card,CardChoice,Synthetic,
it was my debit,CardChoice,Synthetic,
It's the platinum card ,CardChoice,Synthetic,
credit  ,CardChoice,Synthetic,
just pick the credit card,CardChoice,Synthetic,
it's credit card,CardChoice,Synthetic,
No the credit card,CardChoice,Synthetic,
visa  ,CardChoice,Synthetic,
it was the debit card,CardChoice,Synthetic,
the debit card,CardChoice,Synthetic,
My checking card has disappeared ,CardChoice,Synthetic,
My credit card is nowhere to be found,CardChoice,Synthetic,
misplaced the cc,CardChoice,Synthetic,
Debit card has vanished ,CardChoice,Synthetic,
amex cc,CardChoice,Synthetic,
american express  ,CardChoice,Synthetic,
it was the credit card,CardChoice,Synthetic,
lost my propel amex cc,CardChoice,Synthetic,
misplaced my propel american express card,CardChoice,Synthetic,
can't find my propel amex card,CardChoice,Synthetic,
can't seem to find my WF amex card,CardChoice,Synthetic,
lost my cash wise visa card,CardChoice,Synthetic,
can't find my WF cash wise visa card,CardChoice,Synthetic,
it's my WF cash wise visa card,CardChoice,Synthetic,
it's my WF rewards card,CardChoice,Synthetic,
it's my WF visa signature card,CardChoice,Synthetic,
just pick my WF visa signature,CardChoice,Synthetic,
misplaced my hotels.com rewards visa card,CardChoice,Synthetic,
hotels.com rewards card,CardChoice,Synthetic,
wf platinum cc,CardChoice,Synthetic,
wf platinum visa card,CardChoice,Synthetic,
WF cash back college card,CardChoice,Synthetic,
it's my platinum visa cc,CardChoice,Synthetic,
it's my cash back college card,CardChoice,Synthetic,
last night,LostDate,Synthetic,
It was lost on February 28th,LostDate,Synthetic,
last week maybe,LostDate,Synthetic,
yesterday,LostDate,Synthetic,
maybe tuesday,LostDate,Synthetic,
2 days ago,LostDate,Synthetic,
it was yesterday,LostDate,Synthetic,
possibly 2 days ago,LostDate,Synthetic,
tuesday maybe,LostDate,Synthetic,
just a few minutes ago,LostDate,Synthetic,
I lost it last night,LostDate,Synthetic,
two days ago,LostDate,Synthetic,
I lost it last Thursday night at Pizza Hut,LostDate,Synthetic,
I lost it on Saturday night,LostDate,Synthetic,
it just happened,LostDate,Synthetic,
this happened right now,LostDate,Synthetic,
i think i lost it last week,LostDate,Synthetic,
I think it was three days ago,LostDate,Synthetic,
today ,LostDate,Synthetic,
i lost it last weekend,LostDate,Synthetic,
beats me,LostDate,Synthetic,
last Friday night,LostDate,Synthetic,
i canʻt remember,LostDate,Synthetic,
i think it happened yesterday,LostDate,Synthetic,
today just a few hours ago,LostDate,Synthetic,
tonight,LostDate,Synthetic,
a couple of hours ago,LostDate,Synthetic,
last Sunday afternoon,LostDate,Synthetic,
no clue,LostDate,Synthetic,
April 3rd,LostDate,Synthetic,
really couldn't tell you exactly when,LostDate,Synthetic,
